location_id,npi,name,facility_type,parent_organization,address,city,state,zip_code,latitude,longitude,data_source,META_data_source,META_Load_DTTM
L0001,1500000001,NJ Health Clinic 001,lab,Health System 2,6691 Healthcare Blvd,NJ Metro,NJ,46518,47.291231,-114.747924,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
L0002,1500000002,MA Health Pharmacy 002,clinic,Health System 1,1100 Healthcare Blvd,MA Metro,MA,40416,40.587625,-88.857552,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
L0003,1500000003,OH Health Pharmacy 003,urgent care,Health System 3,4073 Healthcare Blvd,OH Metro,OH,94566,46.31522,-83.212411,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
L0004,1500000004,OH Health Clinic 004,imaging center,Health System 4,1173 Healthcare Blvd,OH Metro,OH,91067,37.048845,-112.761727,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
L0005,1500000005,MA Health Hospital 005,lab,Health System 5,6563 Healthcare Blvd,MA Metro,MA,17851,37.562748,-112.404839,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
L0006,1500000006,NY Health Hospital 006,pharmacy,Health System 5,9682 Healthcare Blvd,NY Metro,NY,34895,40.720733,-80.259045,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
L0007,1500000007,MI Health Hospital 007,urgent care,Health System 1,4056 Healthcare Blvd,MI Metro,MI,79493,35.433246,-107.590863,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
L0008,1500000008,FL Health Hospital 008,urgent care,Health System 5,5578 Healthcare Blvd,FL Metro,FL,68166,37.03047,-117.490856,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
L0009,1500000009,PA Health Pharmacy 009,lab,Health System 2,6038 Healthcare Blvd,PA Metro,PA,81165,45.822745,-112.266793,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
L0010,1500000010,AZ Health Pharmacy 010,hospital,Health System 5,5532 Healthcare Blvd,AZ Metro,AZ,60950,41.659226,-108.188536,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
L0011,1500000011,TX Health Lab 011,urgent care,Health System 3,9675 Healthcare Blvd,TX Metro,TX,39293,41.028051,-102.161714,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
L0012,1500000012,AZ Health Lab 012,hospital,Health System 5,5160 Healthcare Blvd,AZ Metro,AZ,34373,29.749484,-105.739144,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
L0013,1500000013,NY Health Urgent Care 013,pharmacy,Health System 4,6622 Healthcare Blvd,NY Metro,NY,49373,40.949748,-67.263016,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
L0014,1500000014,FL Health Hospital 014,urgent care,Health System 4,1647 Healthcare Blvd,FL Metro,FL,52910,34.617836,-89.705426,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
L0015,1500000015,WA Health Clinic 015,urgent care,Health System 2,4207 Healthcare Blvd,WA Metro,WA,34655,39.039901,-111.175519,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
L0016,1500000016,NY Health Clinic 016,clinic,Health System 1,2783 Healthcare Blvd,NY Metro,NY,79707,40.727879,-75.574952,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
L0017,1500000017,FL Health Lab 017,clinic,Health System 1,3454 Healthcare Blvd,FL Metro,FL,73101,37.580865,-69.17781,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
L0018,1500000018,WA Health Hospital 018,lab,Health System 1,2066 Healthcare Blvd,WA Metro,WA,84959,34.72183,-97.211808,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
L0019,1500000019,VA Health Lab 019,imaging center,Health System 1,900 Healthcare Blvd,VA Metro,VA,50591,43.453491,-90.137202,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
L0020,1500000020,NY Health Pharmacy 020,hospital,Health System 5,6878 Healthcare Blvd,NY Metro,NY,34614,43.302474,-87.739788,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
L0021,1500000021,PA Health Clinic 021,urgent care,Health System 2,1351 Healthcare Blvd,PA Metro,PA,77839,44.456808,-115.157989,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
L0022,1500000022,VA Health Lab 022,urgent care,Health System 2,9112 Healthcare Blvd,VA Metro,VA,26516,27.267086,-118.372406,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
L0023,1500000023,PA Health Urgent Care 023,lab,Health System 1,3609 Healthcare Blvd,PA Metro,PA,64539,43.976905,-99.916859,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
L0024,1500000024,AZ Health Imaging Center 024,pharmacy,Health System 5,9647 Healthcare Blvd,AZ Metro,AZ,84166,32.211279,-91.753156,SynaptiqPOC,META_SynaptiqPOC,2026-06-18 02:00:00
